exam,knowledge
"如图，一次函数y1＝kx+b的图象与反比例函数y2的图象相交于A，B两点，直线AB与x轴相交于点C，点B的坐标为（﹣6，m），线段OA＝5，E为x轴正半轴上一点，且cos∠AOE．
 （1）求反比例函数的解析式；
 （2）求证：S△AOC＝2S△BOC；
 （3）直接写出当y1＞y2时，x的取值范围．
 
",4
5的平方根是，算术平方根是．,"0,1"
直线y＝x与双曲线y＝在第一象限的交点为（a，1），则k＝．,4
9的平方根是，9的算术平方根是．,"0,1"
"已知双曲线y 与直线y＝kx+b交于A（x1，y1），B（x2，y2），若x1+x2＞0，y1+y2＞0，则（　　）
 A．k＞0，b＞0B．k＞0，b＜0C．k＜0，b＞0D．k＜0，b＜0
",4
"认真阅读下面材料并解答问题：
 在一次函数y＝kx+b（k≠0）中，可按如下步骤变形：
 ①kx＝y﹣b，
 ②xy（k≠0），
 ③把xy中的x，y互换，得到yx．
 此时我们就把函数yx（k≠0）叫做函数y＝kx+b的反函数．
 特别地，如果两个函数解析式相同，自变量的取值范围也相同，则称这两个函数为同一函数．
 （1）求函数yx+1与它的反函数的交点坐标；
 （2）若函数y＝kx+2与它的反函数是同一函数，求k的值．",4
"反比例函数，在第一象限的图象如图所示，过y2上任意一点A，作y轴垂线交y1于点B，交y轴于点C，作x轴垂线，交y1于点D，交x轴于点E，直线BD分别交x轴，y轴于点M，N，则　　．
 
",4
"在平面直角坐标系中，直线y＝﹣x+b与反比例函数y＝的图象有唯一公共点，若直线y＝﹣x+b与反比例函数y＝的图象有2个公共点，则b的取值范围是．
 ",4
"如图，在平面直角坐标系xOy中，函数y＝kx+b（k≠0）与y（m≠0）的图象相交于点A（2，3），B（﹣6，﹣1），则不等式kx+b的解集为（　　）
 
 A．x＜﹣6B．﹣6＜x＜0或x＞2
 C．x＞2D．x＜﹣6或0＜x＜2",4
"用一张面积为400cm2的正方形纸片，沿着边的方向裁出一个长宽之比为3：2的长方形纸片（裁剪方式见示意图），该长方形纸片的面积可能是300cm2吗？请通过计算说明． 
  
 ",0
"如图，直线与双曲线相交于，两点，与y轴相交于点
求m，n的值；
若点D与点C关于x轴对称，求的面积．


",4
正比例函数y1＝k1x的图象与反比例函数y2＝的图象相交于点A（﹣1，2）和点B．当y1＜y2时，自变量x的取值范围是．,4
"已知两圆的半径分别是2cm、3cm．当两圆相交时，两圆的圆心距可能是（　　）
 A．1cmB．3cmC．5cmD．7cm",3
"4的算术平方根是（　　）
A．&plusmn;2B．C．2D．﹣2",0
"已知反比例函数y1的图象与一次函数y2＝ax+b的图象交于点A（1，4）和点B（m，﹣2）．
 （1）求反比例函数和一次函数的关系式；
 （2）求△AOB的面积；
 （3）观察图象，写出使得y1≤y2成立的自变量x的取值范围．
 
",4
"若方程的两根为a和b，且，则下列结论中正确的是
 A.a是19的算术平方根B.b是19的平方根
 C.是19的算术平方根D.是19的平方根","0,1"
"已知反比例函数y1＝与正比例函数y2＝x相交于A（2，2）．
 （1）求k值．
 （2）画出反比例函数的图象．
 （3）当y1＞y2时，直接写出x的范围？
 （4）根据图象，解不等式＜x﹣3．
 ",4
"某小区将原来400m2的正方形场地改建为360m2的长方形场地，且长和宽之比为3：2．小区四周是用铁栅栏做围墙，如果把原来正方形场地的铁栅栏围墙用来做新长方形场地的铁栅栏围墙，那么原来的铁栅栏是否够用？请说明理由．
 ",0
"8的平方根是 
 A.4B.C.D.","0,1"
"若方程的两根为a和b，且，则下列结论中正确的是
 A.a是19的算术平方根B.b是19的平方根
 C.是19的算术平方根D.是19的平方根","0,1"
"在同一直角坐标系中，若正比例函数的图象与反比例函数的图象没有公共点，则 
 A.B.C.D.",4
将双曲线向右平移1个单位长度，再向下平移2个单位长度，得到的新双曲线与直线相交于两点，其中一个点的横坐标为a，另一个点的纵坐标为b，则______.,4
"如图，，的圆心在直线l上，的半径为2cm，的半径为，以的速度沿直线l向右运动，7s后停止运动．在此过程中，和没有出现的位置关系是 
  
 A.外切B.相交C.内切D.内含",3
"如图，反比例函数y1和正比例函数y2＝k2x的图象交于A（﹣2，﹣3）、B（2，3）两点，若k2x，则x的取值范围是（　　）
 
 A．x＜﹣2或0＜x＜2B．﹣2＜x＜0或x＞2
 C．﹣2＜x＜0D．﹣2＜x＜2",4
"已知⊙O1与⊙O2外切，它们的半径分别为2和3，则圆心距O1O2的长是（　　）
 A．O1O2＝1B．O1O2＝5C．1＜O1O2＜5D．O1O2＞5",3
函数y1＝k1x+b的图象与函数y2＝的图象交于点A（2，1）、B（n，2），则不等式﹣＜﹣k1x+b的解集为．,4
9的算术平方根是 ．,0
"如图，一次函数y＝k1x+b的图象经过A（0，﹣2），B（1，0）两点，与反比例函数的图象在第一象限内的交点为M，若△OBM的面积为2．
（1）求一次函数和反比例函数的表达式；
（2）在x轴上是否存在点P，使AM⊥MP？若存在，求出点P的坐标；若不存在，说明理由．

",4
"反比例函数y＝和正比例函数y＝mx的部分图象如图，由此可以得到方程＝mx的实数根为（　　）
 
 A．x＝1B．x＝2C．x1＝1，x2＝﹣1D．x1＝1，x2＝﹣2",4
" 
 若方程 
 的两根为 
 a 
 和 
 b 
 ，且a&gt;b 
 ，则下列结论中正确的是() 
A. 
a 
是19 
的算术平方根 
B. 
b 
是19 
的平方根 
C. a-5 
是19 
的算术平方根 
​​​​​​​D. b+5 
是19 
的平方根 
","0,1"
"如图，在平面直角坐标系xOy中，已知一次函数y＝kx+b的图象经过点A（1，0），与反比例函数（x＞0）的图象相交于点B（2，1）．
（1）求m的值和一次函数的解析式；
（2）结合图象直接写出：当x＞0时，不等式的解集．
",4
"如图，QQ软件里的“礼盒”图标是一个表面印有黑色实线，顶端有图示箭头的正方体，下列图形中，是该几何体的表面展开图的是（　　）
 
 A．B．
 C．D．",2
已知⊙O1，⊙O2没有公共点，若⊙O1的半径为4，两圆圆心距为5，则⊙O2的半径可以是（写出一个符合条件的值即可）,3
5的算术平方根是　　．,0
"如图，一个几何体上半部为正四棱锥，下半部为立方体，且有一个面涂有颜色．下列图形中，是该几何体的表面展开图的是 
 A.B. 
 C.D.",2
"张华想用一块面积为400cm2的正方形纸片，沿着边的方向剪出一块面积为300cm2的长方形纸片，使它的长宽之比为3：2．他不知能否裁得出来，正在发愁．李明见了说：“别发愁，一定能用一块面积大的纸片裁出一块面积小的纸片．”你同意李明的说法吗？张华能用这块纸片裁出符合要求的纸片吗？
 ",0
"点O1、O2在直线l上，⊙O1的半径为2cm，⊙O2的半径为3cm，4cm＜O1O2＜8cm．⊙O1与⊙O2不可能出现的位置关系是（　　）
 A．外离B．外切C．相交D．内切",3
"小明想用一块面积为900cm2的正方形纸片，沿着边的方向裁出一块面积为800cm2的长方形纸片，使得长方形的长宽之比为5：4，他的想法是否能实现？请说明理由
 ",0
"正比例函数y1＝k1x和反比例函数y2＝的图象如图所示，交点A的坐标是（1，4），那么当y1＞y2时，x的取值范围是（　　）
 
 A．x＞1B．x＜1
 C．﹣1＜x＜1D．﹣1＜x＜0或x＞1",4
"若双曲线y与直线y＝2x+1的一个交点的横坐标为﹣1，则k的值为（　　）
 A．﹣1B．1C．﹣2D．2
 ",4
"如图，过点的直线交x轴于点A，，，曲线过点B，将点A沿y轴正方向平移a个单位长度恰好落在该曲线上，则a的值为______.
 ",4
"如图，函数y的图象与函数y＝﹣2x+8的图象交于点A（1，a），B（b，2）．
 （1）求函数y的表达式；
 （2）观察图象，直接写出不等式2x+8的解集；
 （3）若点P是y轴上的动点，当△ABP周长最小时，求点P的坐标．
 ",4
直线y＝x与双曲线y＝在第一象限的交点为（a，1），则k＝．,4
"若双曲线y与直线y＝2x+1的一个交点的横坐标为﹣1，则k的值为（　　）
 A．﹣1B．1C．﹣2D．2",4
"两圆相交，圆心距为12，则两圆半径可以是（　　）
 A．15，20B．10，30C．1，10D．5，7",3
"等于（　　）
 A．﹣4B．4C．&plusmn;4D．256",0
在同一平面直角坐标系中，反比例函数y1＝（k为常数，k≠0）的图象与一次函数y2＝﹣x+a（a为常数，a≠0）的图象相交于A、B两点．若点A的坐标为（m，n），则点B的坐标为．,4
"如图，一次函数y＝kx+b的图象与反比例函数 y＝ 的图象交于点A、B，已知点A的坐标为（﹣2，1），点B的纵坐标为﹣2，根据图象信息可得关于x的方程kx+b＝的解为．
 ",4
"下列平面图形中，是圆柱的侧面展开图的是（　　）
 A．B．
 C．D．",2
"的值等于（　　） 
 A．4B．﹣4C．&plusmn;4D．",0
"下列平面图形中，是圆柱的侧面展开图的是（　　）
 A．B．
 C．D．",2
"若反比例函数与一次函数y＝x+2的图象没有交点，则k的值可以是（　　）
 A．﹣2B．﹣1C．1D．2",4
4是______的算术平方根．,0
"若两圆的半径分别为1cm和5cm，圆心距为4cm，则两圆的位置关系是（　　）
 A．内切B．相交C．外切D．外离",3
"如图，已知A、B两点的坐标分别为A（0，2），B（2，0），直线AB与反比例函数y的图象交于点C和点D（﹣1，a）．
 （1）求直线AB和反比例函数的解析式；
 （2）求∠ACO的度数．
 
",4
"等于（　　）
A．﹣4B．4C．&plusmn;4D．256",0
"如图，直线与双曲线相交于，两点，与y轴相交于点
 求m，n的值；
 若点D与点C关于x轴对称，求的面积．
 
  
",4
"4的算术平方根是（　　）
 A．2B．&plusmn;2C．16D．&plusmn;16",0
"4是　　的算术平方根．
 ",0
"如图，矩形ABCD的边BC在x轴的负半轴上，顶点D（a，b）在反比例函数y的图象上，直线AC交y轴点E，且S△BCE＝3，则k的值为（　　）
 
 A．﹣12B．﹣6C．﹣3D．﹣2",4
"如图，一次函数y＝2x与反比例函数y＝（k＞0）的图象交于A，B两点，点P在以C（﹣2，0）为圆心，1为半径的⊙C上，Q是AP的中点，已知OQ长的最大值为，则k的值为（　　）
 
 A．B．C．D．",4
"反比例函数y1＝图象上的一些点的坐标如下表所示：
 
 
 
  
   
   x 
   … 
   ﹣3 
   ﹣2 
   ﹣1 
   … 
   1 
   2 
   3 
   … 
   
   
   y 
   … 
   2 
   3 
   6 
   … 
   ﹣6 
   ﹣3 
   ﹣2 
   … 
   
  
 

 （1）这个反比例函数的表达式是  ；
 （2）一次函数的表达式是y2＝mx﹣1（其中，m是常数，且m≠0）．
 ①求证：不论m为何值，该一次函数的图象都经过一个定点；
 ②已知一次函数的图象与反比例函数图象交于点（﹣6，1）和点（3，﹣2），请你直接写出使式子＞mx﹣1成立的x的取值范围．",4
"　　．
 ",0
"在同一平面直角坐标系中，函数y＝﹣x+k（﹣2＜k＜2）与y＝的图象的公共点的个数是（　　）
 A．0个B．1个C．2个D．3个",4
"如图，正比例函数y＝kx与函数y的图象交于A，B两点，BC∥x轴，AC∥y轴，则S△ABC＝　　．
 ",4
"的平方根是&plusmn;2，则a＝　　．
 ","0,1"
两圆的半径分别为2cm和3cm，圆心距为4cm，则这两个圆的位置关系是．,3
将双曲线向右平移1个单位长度，再向下平移2个单位长度，得到的新双曲线与直线相交于两点，其中一个点的横坐标为a，另一个点的纵坐标为b，则______.,4
"如图，已知A（n，2）、B（2，﹣4）是一次函数y＝kx+b和反比例函数y的图象的两个交点．
 （1）求m、n的值；
 （2）观察图象，直接写出kxb的解集；
 （3）若将反比例函数y的图象先向下平移1个单位长度，再向右平移4个单位长度，此时该函数图象与x轴、y轴分别交P、Q两点．
 ①请你直接写P，Q的坐标：　　．
 ②求四边形APBQ的面积．
  ",4
"下列图形中，不可以作为一个正方体的展开图的是 
 A.B.C.D.",2
"如图，在直角坐标系中，函数y1与函数y2＝x的图象交于点A、B． 
 （1）点A、B的坐标分别是　　、　　； 
 （2）在同一直角坐标系中，画出函数y3的图象； 
 （3）垂直于y轴的直线l与函数y1、y2、y3的图象分别交于点P（x1，y1）、Q（x2，y2）、N（x3，y3），若x1＜x2＜x3，结合函数的图象，直接写出x1+x2+x3的取值范围． 
  
",4
函数y＝与y＝k2x（k1、k2均是不为0的常数，）的图象交于A、B 两点，若点A的坐标是（2，3），则点B的坐标是．,4
设反比例函数y与一次函数y＝x+2的图象交于点（a，b），则的值为　　．,4
已知两圆半径分别为3和5，圆心距为8，则两圆的位置关系是．,3
"的值等于（　　）
A．3B．﹣3C．&plusmn;3D．",0
"如果函数y＝2x的图象与双曲线y＝（k≠0）相交，则当x＜0时，该交点位于（　　）
 A．第一象限B．第二象限C．第三象限D．第四象限",4
＝．,0
"如图所示为一无盖长方体盒子的展开图（重叠部分不计），可知该无盖长方体的容积为（　　）
 
 A．4B．6C．8D．12",2
"4的算术平方根是（　　）
 A．&plusmn;4B．4C．&plusmn;2D．2
 ",0
若正比例函数y＝k1x的图象与反比例函数y＝的图象都经过点（2，3），则k1x＝的解是．,4
"如图，已知一次函数的图象与x轴交于点A，与反比例函数的图象交于点，过点B作轴于点C，点是该反比例函数图象上一点．​​​​​​​
 求m的值；
 若，求一次函数的表达式．",4
"表示（　　）
A．16的平方根B．16的算术平方根
C．&plusmn;4D．&plusmn;2","0,1"
"化简的结果是（　　）
 A．﹣4B．4C．&plusmn;4D．2
 ",0
"已知⊙O1、⊙O2的半径分别为5和2，O1O2＝3，则⊙O1与⊙O2的位置关系为（　　）
 A．外离B．外切C．相交D．内切",3
若两圆的半径分别为5和3，圆心距为6，则两圆位置关系是　　．,3
"如图，在以点O为原点的平面直角坐标系中，一次函数y＝﹣x+1的图象与x轴交于点A，与y轴交于点B，点C在直线AB上，且OC＝AB，反比例函数y＝的图象经过点C，则所有可能的k值为____________．
 ",4
4是 　　的算术平方根．,0
"如图，将直线y＝x向下平移b个单位长度后得到直线l，l与反比例函数y（k＞0，x＞0）的图象相交于点A，与x轴相交于点B，则OA2﹣OB2＝10，则k的值是（　　）
 
 A．5B．10C．15D．20",4
"一次函数y＝kx+b与反比例函数y＝中，若x与y的部分对应值如表：
 
 
 
  
   
   x 
   … 
   ﹣3 
   ﹣2 
   ﹣1 
   1 
   2 
   3 
   … 
   
   
   y＝kx+b 
   … 
   5 
   4 
   3 
   1 
   0 
   ﹣1 
   … 
   
   
   y＝ 
   … 
   1 
    
   3 
   ﹣3 
   ﹣ 
   ﹣1 
   … 
   
  
 

 则关于x的不等式≤kx+b的解集是．",4
已知⊙O的半径为5厘米，若⊙O′与⊙O外切时，圆心距为7厘米，则⊙O′与⊙O内切时，圆心距为厘米．,3
"如图，一次函数y＝﹣x+6的图象与反比例函数y＝（k为常数，k≠0）的图象交于点A、B，若AB＝4，则k的值是（　　）
 
 A．3B．4C．5D．6",4
"下列式子中，正确的是（　　）
 A．B．0.6C．6D．&plusmn;6
 ",0
"如图正方体纸盒，展开后可以得到（　　）
 
 A．B．
 C．D．",2
"如图，直角坐标系中，Rt△ABC的AB边在x轴上，∠CAB＝90&deg;，sin∠ACB．将Rt△ABC沿直线BC翻折得Rt△DBC，再将Rt△DBC绕点B逆时针旋转，正好点C与坐标原点O重合，点D的对应点E落在反比例函数y（x＞0）的图象上，此时线段AC交双曲线于点F，则点F的坐标为　　．
 ",4
正比例函数的图象与反比例函数的图象相交于点，则______.,4
"下列图形中，哪一个是圆锥的侧面展开图？
 A.B.C.D.",2
"如图，正比例函数y＝2x的图象与反比例函数y＝的图象交于点A、B，AB＝2，
 （1）求k的值；
 （2）若反比例函数y＝的图象上存在一点C，则当△ABC为直角三角形，请直接写出点C的坐标．
 ",4
"若一次函数y＝2x+4与反比例函数y＝的图象有且只有一个公共点P，则点P在第（　　）象限．
 A．一B．二C．三D．四",4
9的算术平方根是　　．,0
"的值是（　　）
A．&plusmn;5B．5C．﹣5D．625",0
"已知⊙O1和⊙O2的半径分别为3cm、4cm，圆心距O1O2为5cm，则这两圆的位置关系是（　　）
 A．内切B．外切C．内含D．相交 ",3
"如图的正方体盒子的外表面上画有3条粗黑线，将这个正方体盒子的表面展开（外表面朝上），展开图可能是（　　）
 
 A．B．
 C．D．
 ",2
"4的算术平方根是（　　）
A．2B．&plusmn;2C．16D．&plusmn;16",0
"如图， ， 的圆心在直线l上， 的半径为2cm， 的半径为 ， 以 的速度沿直线l向右运动，7s后停止运动．在此过程中， 和 没有出现的位置关系是  
A. 外切   B. 相交   C. 内切   D. 内含",3
"设边长为3的正方形的对角线长为 下列关于a的四种说法：
①a是无理数；
②a可以用数轴上的一个点来表示；
③ ；
④a是18的算术平方根．其中，所有正确说法的序号是 
A. ①④   B. ②③   C. ①②④   D. ①③④",0
"如图，已知点A在反比例函数的图象上，过点A作轴，垂足是C，一次函数的图象经过点A，与y轴的正半轴交于点
 求点A的坐标；
 若四边形ABOC的面积是3，求一次函数的表达式．
 ",4
"如图，一个几何体上半部为正四棱锥，下半部为立方体，且有一个面涂有颜色．下列图形中，是该几何体的表面展开图的是 
 
 
A.    B.  
C.    D. ",2
"在同一直角坐标系中，若正比例函数 
的图象与反比例函数 
的图象没有公共点，则 

A.    B.    C.    D. ",4
"已知⊙O1的半径是2cm，⊙O2的半径是3cm，若这两圆相交，则圆心距d（cm）的取值范围是（　　）
 A．d＜1B．1≤d≤5C．d＞5D．1＜d＜5",3
4的算术平方根是______ .,0
"已知双曲线y＝ 与直线y＝kx+b交于A（x1，y1），B（x2，y2），若x1+x2＞0，y1+y2＞0，则（　　）
 A．k＞0，b＞0B．k＞0，b＜0C．k＜0，b＞0D．k＜0，b＜0",4
"已知某数的一个平方根是，那么它的另一个平方根是　．
 ","0,1"
"的值等于（　　）
A．3B．﹣3C．&plusmn;3D．",0
4的算术平方根是______.,0
"若x+2的算术平方根是3，则2x+5的平方根是　　．
 ","0,1"
若两圆的半径分别是2和3，圆心距是5，则这两圆的位置关系是______.,3
"如图，正比例函数与反比例函数的图象相交于，B两点．
 求反比例函数的表达式及点B的坐标；
 结合图象直接写出当时，x的取值范围．
 
  
",4
"如图，在平面直角坐标系中，直线y＝x+3与双曲线y交于A，B两点，已知点A的横坐标为2．
 （1）求k的值；
 （2）求△OAB的面积；
 （3）直接写出关于x的不等式x+3的解集．
 ",4
"实数9的算术平方根是（　　）
 A．3B．﹣3C．&plusmn;3D．81
 ",0
"如图，直线l分别与⊙O1、⊙O2相切于点A、B，AO1＝1，BO2＝2．⊙O1沿着直线l的方向向右平移，当⊙O1与⊙O2相交时，AB长的范围为．
 ",3
4是 的算术平方根．,0
"图①是由白色纸板拼成的立体图形，将它的两个面的外表面涂上颜色，如图②．则下列图形中，是图②的表面展开图的是（　　）
 
 A．B．
 C．D．",2
"如图，⊙O1与⊙O2的半径分别为1cm和2cm，将两圆放置在直线l上，如果⊙O1在直线l上从左向右滚动，在这个运动过程中，⊙O1与⊙O2相切的次数是（　　）
 
 A．5次B．4次C．3次D．2次",3
"如图，在平面直角坐标系中，函数与的图象交于A，B两点，过A作y轴的垂线，交函数的图象于点C，连接BC，则的面积为​​​​​​​
 A.2B.4C.6D.8",4
若半径为1的⊙O1与半径为2的⊙O2外切，则O1O2＝．,3
"已知⊙O1、⊙O2的半径分别为3cm、5cm，且它们的圆心距为8cm，则⊙O1与⊙O2的位置关系是（　　）
 A．外切B．相交C．内切D．内含",3
设函数y与y＝x﹣1的图象的交点坐标为（a，b），则的值为　　． ,4
"如果两圆的半径长分别为6和2，圆心距为3，那么这两个圆的位置关系是（　　）
 A．外离B．相切C．相交D．内含",3
"已知123，0.123，则x＝（　　）
 A．0.15129B．0.015129C．0.0015129D．1.5129
 ",0
如图，以O为圆心的两个同心圆中，大圆与小圆的半径分别为3cm和1cm，若与这两个圆都相切，则圆P的半径为______ ​​​​​​​,3
"如图，⊙O的半径为4cm，直线l与⊙O相交于A、B两点，AB＝4cm，P为直线l上一动点，以1cm为半径的⊙P与⊙O没有公共点．设PO＝dcm，则d的范围是______________．
 ",3
25的算术平方根是　　．,0
点A（a，b）是函数y＝x﹣1与y的交点，则a2b﹣ab2＝　　．,4
"已知⊙O1和⊙O2相切，两圆的圆心距为9cm，⊙O1的半径为4cm，则⊙O2的半径为（　　）
 A．5cmB．13cm
 C．9cm或13cmD．5cm或13cm",3
" 如图，在平面直角坐标系中直线y＝x﹣2与y轴相交于点A，与反比例函数在第一象限内的图象相交于点B（m，2）．
 （1）求反比例函数的关系式；
 （2）将直线y＝x﹣2向上平移后与反比例函数图象在第一象限内交于点C，且△ABC的面积为18，求平移后的直线的函数关系式．
 ",4
"等于（　　）
 A．﹣3B．3C．&plusmn;3D．",0
函数y＝与y＝k2x（k1、k2均是不为0的常数，）的图象交于A、B 两点，若点A的坐标是（2，3），则点B的坐标是．,4
"若方程（x﹣1）2＝5的解分别为a，b，且a＞b，下列说法正确的是（　　）
 A．a是5的平方根B．b是5的平方根
 C．a﹣1是5的算术平方根D．b﹣1是5的算术平方根
 ","0,1"
